"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Вид экскурсии";Characteristics:Класс;"Characteristics:Цвет автомобиля";Characteristics:Салон;"Characteristics:Цвет салона";Characteristics:Сайт;Characteristics:Длительность;Characteristics:Категория;"Characteristics:Тип судна";"Characteristics:Состав группы";"Characteristics:Тип транспорта";"Characteristics:Максимальная вместимость";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url;Tabs:1;Tabs:2;Tabs:3;Tabs:4;Tabs:5;Tabs:6
377375407332;;Gatchina_33;;;"Гатчина - от 3 до 6 человек - 8 часов - Премиум";;;;52500.00;;;"Состав:от 3 до 6 человек;Продолжительность:8 часов;Класс авто:Премиум";;DZboiJeRlaSHMU78iiBn;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=377375407332;;;;;;
459338148012;;Gatchina_34;;;"Гатчина - от 7 до 15 человек - 8 часов - Комфорт";;;;37500.00;;;"Состав:от 7 до 15 человек;Продолжительность:8 часов;Класс авто:Комфорт";;AfArM7xHg2bkreUZKCIZ;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=459338148012;;;;;;
433488179602;;Gatchina_35;;;"Гатчина - от 7 до 15 человек - 8 часов - Бизнес";;;;43000.00;;;"Состав:от 7 до 15 человек;Продолжительность:8 часов;Класс авто:Бизнес";;aVeeBjtzeS3zIPnNhR7T;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=433488179602;;;;;;
686924654662;;Gatchina_36;;;"Гатчина - от 16 до 30 человек - 8 часов - Комфорт";;;;48500.00;;;"Состав:от 16 до 30 человек;Продолжительность:8 часов;Класс авто:Комфорт";;rLf0sBsTDITTSxJ2nzIV;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=686924654662;;;;;;
581151494702;;Gatchina_37;;;"Гатчина - от 16 до 30 человек - 8 часов - Бизнес";;;;58000.00;;;"Состав:от 16 до 30 человек;Продолжительность:8 часов;Класс авто:Бизнес";;6xoegOZnE4nrojxXgTb1;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=581151494702;;;;;;
626327779862;;Gatchina_38;;;"Гатчина - от 31 до 50 человек - 8 часов - Комфорт";;;;55500.00;;;"Состав:от 31 до 50 человек;Продолжительность:8 часов;Класс авто:Комфорт";;GaH9Mm02eAPjCvHalMVP;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=626327779862;;;;;;
692197934692;;Gatchina_39;;;"Гатчина - от 31 до 50 человек - 8 часов - Бизнес";;;;65000.00;;;"Состав:от 31 до 50 человек;Продолжительность:8 часов;Класс авто:Бизнес";;lFPel2u4O5blZAPk9mVZ;695407175741;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-695407175741-gatchina?editionuid=692197934692;;;;;;
633566265171;"На авто";;;Загородные;"Крепость ""Орешек""";"Загородная экскурсия в старинную крепость в истоке Невы";"В истоке Невы в 1323 господином Великим Новгородом на Ореховом острова была основана одноимённая#nbsp;крепость. Долгое время она была главным фортпостом, преграждающим путь шведам в богатый мир русского севера, пока в 1612 году крепость не пала в сложный для нашей страны период ""Смутного времени"". С утратой крепости московское государство лишилось контроля над приневскими землями и вплоть до петровского времени было отрезано от европейских морей. Безусловно, важной вехой в жизни острова стал возврат крепости в границы русской государственности. Пётр I, любивший предать символизм своим достижениям, торжественно переименовал крепость в город Шлиссельбург, что с немецкого означает ""ключ-город"", а ключ, собственно, к Неве. С последующим захватом Ниенштадта, основанием Санкт-Петербурга и Кронштадта, стратегическое военное положение крепости перестало иметь значение, поэтому уже при жизни Петра туда стали ссылать неугодных власти политических преступников, как настоящих, так и мнимых. Среди наиболее известных узников: Иоанн VI, Николай Новиков, Вильгельм Кюхельбекер, Михаил Бакунин и др. В 1883 году крепость полностью переоборудовали в настоящую тюрьму. В то же время на территории крепости приводили в исполнение смертельные приговоры, так в 1887 вместе с другими народовольцами был казнён брат Владимира Ленина - Александр Ульянов.#nbsp;В 1917 году все заключённые были освобождены.#nbsp;<br />Отдельной строкой в жизни острова стало героическое сопротивление гарнизона из 350 бойцов во время Великой Отечественной войны, в течение пятисот дней с 8.09.41 по 18.01.43 они сдерживали немецкие войска, не давая им перекрыть важнейшую трассу блокадного Ленинграда - Дорогу жизни. В наше время на территории крепости расположен музей.#nbsp;";"https://static.tildacdn.com/stor3837-3231-4834-a163-353136653464/55314061.jpg https://static.tildacdn.com/stor6161-6435-4039-b434-653638336566/13880393.jpg https://static.tildacdn.com/stor6332-3230-4137-a561-633039643337/79144833.jpg https://static.tildacdn.com/stor3361-3737-4334-b866-396264623933/88737191.jpg https://static.tildacdn.com/stor3334-3934-4232-a466-613861653638/99938407.jpg https://static.tildacdn.com/stor3934-3464-4036-a230-323532343030/56349917.jpg";;;;"product_options:[{""title"":""Состав"",""params"":{""view"":""select"",""hasColor"":false,""linkImage"":false}},{""title"":""Продолжительность"",""params"":{""view"":""select"",""hasColor"":false,""linkImage"":false}},{""title"":""Класс авто"",""params"":{""view"":""select"",""hasColor"":false,""linkImage"":false}}]";;mm2PGr6P4gSzOi9cehi4;;Пригороды;;;;;;;;;;;;0;0;0;0;"Крепость ""Орешек""";"Загородная экскурсия в старинную крепость в истоке Невы";;"Крепость ""Орешек""";"Загородная экскурсия в старинную крепость в истоке Невы";https://createplanet.org/surbubs/tproduct/664534172-633566265171-krepost-oreshek;"info|#|Летняя программа|#|<strong>6 часов&nbsp;</strong><br />Старопетергофская дорога<br />Большой Петергофский дворец и Восточная часть Нижнего парка<br />или<br />Два малых музея и&nbsp;Восточная часть Нижнего парка<br />или<br />Один малый музей и весь Нижний парк<br /><br /><strong>8 часов&nbsp;</strong><br />Большой Петергофский дворец<br />Весь Нижний парк<br />Малый музей на выбор<br />Западная часть парка: Львиный каскад, павильон ""Эрмитаж"", павильон ""Марли"", каскад ""Золотая гора""";"info|#|Транспорт|#|Мы работаем только с проверенными водителями и транспортными компаниями. Примеры авто Вы можете посмотреть в разделе трансфер<br /><br />для 1-2 человек - Автомобиль класса ""Комфорт""&nbsp;<br />для 3-6 человек - Минивэн класса ""Комфорт""&nbsp;<br />для 7-15 человек - Микроавтобус ""Комфорт""&nbsp;<br />для 16-30 человек - Средний автобус ""Туркласс""<br />для 31-15 человек - Большой автобус ""Туркласс""<br /><br /><br />";"info|#|Входные билеты|#|Дополнительно оплачиваются входные билеты<br /><br />Крепость ""Орешек""<br />Взрослый - 250<br />Льготный - 150<br /><br />Переправа<br />Взрослый - 350<br />Льготный - 250";;;
446095731772;;Shlisselburg_01;;;"Крепость ""Орешек"" - от 1 до 2 человек - 6 часов - Комфорт";;;;24500.00;;;"Состав:от 1 до 2 человек;Продолжительность:6 часов;Класс авто:Комфорт";;0hT4ZIILrTdO3PenCKcV;633566265171;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-633566265171-krepost-oreshek?editionuid=446095731772;;;;;;
718041580202;;Shlisselburg_02;;;"Крепость ""Орешек"" - от 1 до 2 человек - 6 часов - Бизнес";;;;30500.00;;;"Состав:от 1 до 2 человек;Продолжительность:6 часов;Класс авто:Бизнес";;Oxa1tafLdkcDjDT1F7kT;633566265171;;;;;;;;;;;;;0;0;0;0;;;;;;https://createplanet.org/surbubs/tproduct/664534172-633566265171-krepost-oreshek?editionuid=718041580202;;;;;;
